Date,Open,High,Low,Close,Adj Close,Volume
2014-02-10,94.970001,96.680000,93.629997,96.550003,81.114128,28473800
2014-02-17,95.849998,97.949997,95.300003,97.500000,81.912270,24009900
2014-02-24,97.550003,98.239998,95.820000,96.970001,81.466995,25379700
2014-03-03,96.320000,98.150002,95.599998,97.050003,81.534195,28478800
2014-03-10,96.639999,97.910004,95.059998,95.389999,80.139595,28256700
2014-03-17,95.989998,97.629997,95.099998,97.389999,81.819839,27463400
2014-03-24,97.599998,99.620003,96.419998,99.389999,83.500099,30258400
2014-03-31,100.000000,103.379997,98.940002,102.169998,85.835663,33064600
2014-04-07,101.610001,103.720001,100.410004,101.449997,85.230759,25806800
2014-04-14,102.180000,103.440002,100.949997,102.830002,86.390144,17790200
2014-04-21,102.900002,107.400002,101.550003,104.690002,88.470657,29358300
2014-04-28,104.989998,106.239998,103.250000,105.010002,88.741074,19859100
2014-05-05,104.660004,105.300003,103.430000,105.059998,88.783325,15282700
2014-05-12,105.709999,108.209999,104.040001,106.029999,89.603050,20252300
2014-05-19,105.419998,105.529999,100.720001,104.029999,87.912895,24663000
2014-05-26,104.199997,104.480003,101.550003,102.230003,86.391762,15807200
2014-06-02,102.419998,108.360001,102.010002,108.180000,91.419945,19959300
2014-06-09,107.739998,109.500000,106.070000,106.769997,90.228394,16809600
2014-06-16,106.500000,109.529999,105.730003,109.379997,92.434013,16849600
2014-06-23,109.250000,109.849998,107.000000,108.779999,91.926987,13034900
2014-06-30,108.680000,111.160004,107.970001,111.080002,93.870644,9320700
2014-07-07,110.180000,110.449997,107.800003,109.959999,92.924156,11714200
2014-07-14,110.430000,111.459999,108.930000,110.169998,93.101639,15151700
2014-07-21,110.000000,111.279999,104.089996,104.849998,89.166161,22243200
2014-07-28,104.779999,106.440002,99.110001,100.519997,85.483833,31001600
2014-08-04,100.360001,103.470001,100.099998,103.279999,87.830986,26839200
2014-08-11,104.610001,106.419998,103.930000,105.739998,89.923012,22341700
2014-08-18,106.690002,108.570000,106.279999,107.309998,91.258171,21181200
2014-08-25,107.959999,109.099998,107.730003,109.070000,92.754890,16826800
2014-09-01,109.029999,109.730003,108.050003,108.540001,92.304199,17618200
2014-09-08,108.230003,108.459999,104.400002,105.019997,89.310715,27594400
2014-09-15,104.320000,105.830002,102.080002,102.510002,87.176163,29665000
2014-09-22,102.099998,102.260002,99.190002,100.379997,85.364761,24497200
2014-09-29,99.349998,100.099998,96.150002,97.389999,82.822044,20112500
2014-10-06,97.809998,98.129997,91.610001,93.129997,79.199249,29269700
2014-10-13,93.290001,95.599998,90.050003,95.050003,80.832054,36903300
2014-10-20,94.529999,99.940002,93.269997,99.440002,85.209579,30276500
2014-10-27,98.680000,102.370003,97.150002,101.410004,86.897675,21860700
2014-11-03,101.610001,101.830002,98.040001,101.760002,87.197578,18934800
2014-11-10,101.860001,103.220001,100.650002,101.339996,86.837692,15165800
2014-11-17,101.250000,107.120003,100.070000,106.449997,91.216423,21707900
2014-11-24,106.400002,106.629997,100.120003,100.599998,86.203575,15674800
2014-12-01,100.239998,101.459999,97.790001,98.779999,84.644035,25258000
2014-12-08,98.660004,98.760002,89.959999,90.500000,77.548950,35496700
2014-12-15,91.250000,92.250000,88.029999,91.709999,78.585800,41278800
2014-12-22,92.459999,94.660004,91.849998,94.230003,80.745163,12913400
2014-12-29,94.199997,94.279999,90.660004,91.879997,78.731476,12606900
2015-01-05,90.349998,90.419998,85.169998,87.650002,75.106773,38943100
2015-01-12,87.730003,87.900002,83.050003,83.860001,71.859169,36897400
2015-01-19,84.419998,87.360001,83.190002,85.610001,73.960266,23120100
2015-01-26,85.360001,86.260002,78.809998,79.970001,69.087746,67207000
